Make,Model,Year,Price,Mileage,Manufacture_Date
Volkswagen,SUV,2006,8327,113521,2016-12-12
Nissan,Hatchback,2019,34768,116378,2007-09-05
Hyundai,Sedan,2014,69418,17140,2003-05-11
Honda,Minivan,2010,47788,2670,2003-07-08
Volkswagen,Coupe,2007,51830,36519,2001-11-20
Hyundai,Sedan,2020,57446,44512,2014-01-30
Nissan,Hatchback,2006,20160,188883,2013-02-03
Toyota,SUV,2018,61583,103565,2013-05-13
Nissan,Minivan,2022,38998,145763,2012-05-04
Nissan,Truck,2010,32230,105156,2005-06-19
Nissan,Truck,2010,14076,165334,2011-12-30
Ford,Convertible,2020,74341,185964,2021-01-10
BMW,Truck,2003,36085,25595,2001-03-05
Nissan,Hatchback,2007,60571,188279,2015-08-10
Ford,Hatchback,2002,19715,164512,2010-05-09
Hyundai,Hatchback,2021,10750,8630,2014-12-21
Mercedes-Benz,Coupe,2020,40903,162322,2012-05-04
BMW,Convertible,2001,77489,107461,2001-06-11
Hyundai,Coupe,2011,37093,74191,2008-03-15
Chevrolet,Minivan,2005,39314,195863,2009-06-29
Volkswagen,Truck,2001,53225,100591,2003-09-23
Honda,Minivan,2020,40179,63753,2018-08-31
Chevrolet,Truck,2000,30338,60520,2001-12-04
Audi,SUV,2011,74681,4008,2001-10-24
Mercedes-Benz,Coupe,2021,37101,175536,2017-02-16
Audi,Sedan,2011,7775,107408,2022-11-28
Toyota,Minivan,2016,50619,496,2014-07-03
Toyota,SUV,2009,50838,99767,2014-09-22
Nissan,Coupe,2015,24539,23212,2000-11-01
Mercedes-Benz,Hatchback,2014,62124,20637,2015-01-19
Hyundai,Convertible,2014,70149,45227,2012-11-10
Chevrolet,Minivan,2018,31616,119753,2006-07-18
Mercedes-Benz,Coupe,2011,59567,120118,2019-10-10
Chevrolet,Convertible,2022,42099,9884,2021-09-20
Honda,Minivan,2019,66799,116481,2004-01-05
Hyundai,Convertible,2002,30479,68259,2021-07-01
Audi,Minivan,2004,51172,49810,2001-02-06
Chevrolet,Truck,2018,60863,129926,2019-01-01
Honda,Sedan,2006,47043,4761,2007-04-24
Mercedes-Benz,Minivan,2020,20408,16375,2022-03-01
Honda,Coupe,2008,62980,156290,2022-11-29
Volkswagen,Sedan,2006,21351,161637,2012-06-10
Honda,Convertible,2017,9131,102654,2015-07-01
Honda,Truck,2003,49825,32975,2016-08-18
Nissan,Minivan,2013,16349,158145,2006-06-06
Toyota,Sedan,2017,65931,132955,2018-10-03
Audi,SUV,2008,49254,199494,2012-01-20
Volkswagen,Convertible,2020,43225,180701,2002-01-20
Volkswagen,SUV,2001,17453,195242,2011-02-14
Toyota,Hatchback,2019,23814,74489,2020-05-09
BMW,Sedan,2014,23263,8381,2004-06-05
Chevrolet,Sedan,2006,20735,154310,2006-12-05
Honda,Sedan,2011,20830,144867,2009-02-15
Mercedes-Benz,Hatchback,2007,52893,62999,2019-10-22
Honda,Coupe,2014,49673,49907,2015-10-17
Mercedes-Benz,Convertible,2002,50066,140710,2021-02-06
Honda,Convertible,2013,8373,70467,2001-05-26
Volkswagen,Minivan,2016,15335,42623,2013-11-30
BMW,Minivan,2003,28741,169564,2018-10-13
Toyota,Minivan,2017,15692,157483,2000-09-09
Hyundai,Convertible,2007,52295,110724,2011-04-26
Ford,Coupe,2003,50541,151606,2009-07-08
Audi,Sedan,2001,39057,160253,2004-09-21
Hyundai,Sedan,2005,71983,103069,2005-09-24
Audi,Hatchback,2021,24583,19996,2004-08-28
Chevrolet,SUV,2009,27765,105682,2015-12-22
Toyota,Coupe,2003,64287,83609,2011-11-19
Mercedes-Benz,Truck,2021,28906,160477,2007-09-08
